Twitch.soyrr,1113226832097304584,2019-04-02 23:48:54,Follow my twitch https://t.co/kE8wyCyE05 #fortnite #ninja #tfue #C9WIN
Gotham Underground Comic Shop,1113214387039481856,2019-04-02 22:59:27,This very cool #Portacio #variant cover of #MajorX 1 is available tomorrow... #NCBD! #MarvelComics #comicbooks… https://t.co/QNOiG4LJTn
Gotham Underground Comic Shop,1113213374698086401,2019-04-02 22:55:25,"These awesome #Takeda, #Adams, #Quesada &amp; #Conner #variant #covers of #WarOfTheRealms 1 are available tomorrow...… https://t.co/lJbddXI9kZ"
Gotham Underground Comic Shop,1113212003974299651,2019-04-02 22:49:58,This great  1:25 #Hugo #variant #cover of #WarOfTheRealms 1 is available tomorrow... #NCBD! #MarvelComics… https://t.co/JfIDEkrHHK
Gotham Underground Comic Shop,1113210902441070593,2019-04-02 22:45:36,This great  #DelOtto #variant #cover of #WarOfTheRealms 1 is available tomorrow... #NCBD! #MarvelComics #comicbooks… https://t.co/6SZTnRj0sE
Gotham Underground Comic Shop,1113209626303115264,2019-04-02 22:40:32,This great 1:10 #Dauterman #variant #cover of #WarOfTheRealms 1 is available tomorrow... #NCBD! #MarvelComics… https://t.co/c3cgqK8oju
Gotham Underground Comic Shop,1113206652600311813,2019-04-02 22:28:43,"New #toys in the shop!
💥💥
#marvellegends #spiderman #spiderpunk #lasher #deadpool #cloakanddagger #blackpanther… https://t.co/nKyNVbsgda"
Andrius,1113204818527576065,2019-04-02 22:21:25,@goldenmajk @vice_cs @cajunbCS Let's fucking go boys! I know you're gonna smash 'em all! 🙌🔥👊 #C9FAM #C9WIN
Dmitry Shulgin,1113201744648069120,2019-04-02 22:09:12,"In a ceremony that formally marks the beginning of a ship's construction, #Lockheed Martin and #Fincantieri Marinet… https://t.co/8dMdxaluIc"
Gotham Underground Comic Shop,1113197116455833600,2019-04-02 21:50:49,I love getting special goodies in our Diamond order... going to read this sneak preview of #BattleCats V2 1 by… https://t.co/BXpyVKw02E
Ben Slabak,1113187090349428739,2019-04-02 21:10:59,"The last, double-sized issue of @ExiliumComic is now in Previews! Get ready for an explosive finale, pre-order now… https://t.co/JQus66RTyI"
ExecSummary,1113185059408896006,2019-04-02 21:02:54,"RT esportsobserved ""#ICYMI: Twitch viewership for both the #LCS and #LEC was up versus 2018 as the Spring Split Pla… https://t.co/Nddsuy9ISU"
The Esports Observer,1113184331336302592,2019-04-02 21:00:01,#ICYMI: @Twitch viewership for both the #LCS and #LEC was up versus 2018 as the Spring Split Playoffs kicked off la… https://t.co/xkD47CRs9I
Cloud9,1113181865282863104,2019-04-02 20:50:13,"#C9Apex are going live in #TwitchRivals! #C9WIN

📺 Tune in to all the action here:
- Main | https://t.co/jQtw5cuG5z… https://t.co/SPJHSgcL62"
Lifestyle Christian,1113181556628172807,2019-04-02 20:48:59,High School Students Honors Induction was a success. Congrats to all the members &amp; their families. #LCS #Induction #Accomplishments
EsportsNinjaMoba,1113179225295663113,2019-04-02 20:39:43,"RT: @talk_esports-It's been a brilliant year for League so far, and the #LCS quarterfinals more than lived up to ex… https://t.co/FDuI3DRZSp"
Esports Talk,1113179201039810560,2019-04-02 20:39:38,"It's been a brilliant year for League so far, and the #LCS quarterfinals more than lived up to expectations. Wonder… https://t.co/SncHd2ZQpH"
Andres Fernandez,1113162472633061378,2019-04-02 19:33:09,"Shape, materials, colorway... 🔪✨💥
Day 2 of #LCSmarathon: @LiesandHoes x @lecoqsportif  R1000 “White Swan” 🦢
#lcs… https://t.co/456NQ71xjv"
Andres Fernandez,1113162260615192576,2019-04-02 19:32:19,"That orange pops just a bit... 🍊💥 
Day 2 of #LCSmarathon: @LiesandHoes x @lecoqsportif  R1000 “White Swan” 🦢
#lcs… https://t.co/LHdVXCtOTl"
League on Lock,1113155787252273153,2019-04-02 19:06:35,"Our final Global #PowerRankings until playoffs wrap up!

It finally happened... Griffin is no longer #1...

#LCK… https://t.co/rPe91N6I7J"
Nick,1113154319258390531,2019-04-02 19:00:45,"We are well into 2019 guys. THIS is what people want to see. Anime hype videos, anime memes, you name it. The weebs… https://t.co/CzPgRuatLn"
Akshon Esports,1113151721478381568,2019-04-02 18:50:26,".@Olleh on @GoldenGuardians bot lane dynamic. #GGSWIN

https://t.co/JR1K7UVvJB"
FlyQuest,1113128468940648448,2019-04-02 17:18:02,His first season as an #LCS coach and he's got something to prove. Finals? MSI? Call it impossible and watch it hap… https://t.co/umI1Yjwa0R
Heather is a Nerd,1113127606109528069,2019-04-02 17:14:36,YAS! This book was bananas good. If you haven’t picked it up. Grab the trade from your #LCS. And pre-order the upco… https://t.co/Wb4RcvGWVo
AfterShock Central,1113126544866791425,2019-04-02 17:10:23,Want to keep in the know about @AfterShockComix like the crew here at ACP and what's hitting your #LCS on the weekl… https://t.co/Z7khOAjvwQ
#WhoWouldWin,1113116849141571592,2019-04-02 16:31:52,"It's #Giveaway time! 
To enter to win a #Rai #FALLENWORLD standee, poster (artwork by @jonboy007007) or shot glass:… https://t.co/AU2XxwWmRl"
SQUAD,1113116379991937026,2019-04-02 16:30:00,"Our #LCS player of the week is 🥁....

@Pobelter 🎉

#EsportsIn30 https://t.co/Tw4foC8Ava"
James Gavsie,1113116122042134528,2019-04-02 16:28:58,"It's #Giveaway time! 
To enter to win a #Rai #FALLENWORLD standee, poster (artwork by @jonboy007007) or shot glass:… https://t.co/AEemMFgoqZ"
Maik Heller,1113110400613187586,2019-04-02 16:06:14,#LCS @LeagueOfLegends Championsship interested? https://t.co/Qs8yUs1ZIv
RejectedLoLSkins,1113109787607216134,2019-04-02 16:03:48,Quinncy Adams #TSMWIN
Cloud9,1113109087133294599,2019-04-02 16:01:01,"A few days ago, we launched custom C9 Jerseys on the C9 store. To celebrate, we’re giving away a #C9WIN jersey! Che… https://t.co/ca0rHlETkE"
TGH Esports,1113101281818599426,2019-04-02 15:30:00,This week @staybrayzy is spotlighting @Santorin of @FlyQuestSports in his #LCS Spotlight thanks to his incredible f… https://t.co/tT7bYMTXH0
Aaron,1113096825031086081,2019-04-02 15:12:18,Yall ever seen @tara9191 and @Jensen in the same room? 🤔 And guess what they both gonna be in STL this weekend.… https://t.co/V9K478mgYI
Simple Yet Brilliant,1113095217425629186,2019-04-02 15:05:54,#SPidergwen #26 #2ndprint #1stappearance of Spidergwen. Great cover. Most of the copies available have a damaged le… https://t.co/muCdX61oE5
Gotham Underground Comic Shop,1113095037947203584,2019-04-02 15:05:12,It’s Tuesday and we’re open 12-7! Grab #DialHForHero by @samhumphries @Joe_Quinones @daveLsharpe ! Very fun new… https://t.co/IGVxCCNfvj
CosmicSolstice,1113092649005867010,2019-04-02 14:55:42,Alrighty boys today is the day we should be getting the gear! #teamliquid #lcs
TheRealLoops,1113091346166935555,2019-04-02 14:50:31,Say whaaaaaaaaaaaaaat #LeagueOfLegends #Quadra #LCS #LCK #eSports #LeagueClips #Twitchtv #Twitch https://t.co/bIjjZJg1vP
Breakflip LoL,1113074352860278784,2019-04-02 13:43:00,".@TSM rejoint @Cloud9 ! #LCS 

https://t.co/T9QAQNnKLi"
David Ihl,1113070372503633920,2019-04-02 13:27:11,"Bad news for #LCS 
According to T3N, Twitch is thinking about filtering EU viewers, locking them out (???) of using… https://t.co/upijOAxExe"
Aleyshen,1113052069550751744,2019-04-02 12:14:27,"Welp those challenges were fun. Didn’t end up Inting the bot game tho. Couldn’t find a full team 

#game… https://t.co/s4Rmhxcyzn"
No One Ever,1113017563141865475,2019-04-02 09:57:20,@JackEtienne @TSM @Cloud9 Let's go C9! #C9WIN
Jack Etienne,1113005598985994242,2019-04-02 09:09:48,Make sure to catch the finals this weekend! @TSM vs @Cloud9  #C9WIN https://t.co/mwMH8Z8D2T
Kyle,1112995833316663296,2019-04-02 08:30:59,@TSMReginald @TSM @Cloud9 Licorice is bae but TSM is my team. #TSMWIN
Infecty,1112977854176718849,2019-04-02 07:19:33,come on @cloud9 let's make it to the finals! #c9win
ExecSummary,1112973634790965248,2019-04-02 07:02:47,"RT esportsobserved "".Twitch viewership for both the #LCS and #LEC was up versus 2018 as the Spring Split Playoffs k… https://t.co/29JpJhajRW"
Chris Smith,1112973466746019841,2019-04-02 07:02:07,"ICYMI: Order of Business today:

#LCS: FlyQuest vs. Golden Guardians Game 4
#LCK: Griffin vs. Kingzone DragonX Game… https://t.co/H1H6pX6Cej"
The Esports Observer,1112973186084200454,2019-04-02 07:01:00,.@Twitch viewership for both the #LCS and #LEC was up versus 2018 as the Spring Split Playoffs kicked off last week… https://t.co/SfuiZK6wVD
Gracielle Balantakbo,1112968178445897728,2019-04-02 06:41:06,"I mainly watch the #LEC⁠ because of my Fnatic heart, and then watch the #LCS⁠ ⁠and #LCK on the side because I like… https://t.co/PCSY8qVkYE"
Switch,1112944482708787201,2019-04-02 05:06:56,Whos recruiting? #findmeateam #fortnite #team #grind #top #Looking #chronic #TSM #FaZeUp #TSMWIN
HitmarkerJobs.com,1112932920753340416,2019-04-02 04:21:00,"🚨 ICYMI: Watching the #LCS is cool and all, but how about working on the league? 😍😍

💼 Esports Event Coordinator, N… https://t.co/seQUh5Wgp9"
RoyalePros (Team CMC bot),1112914632619053056,2019-04-02 03:08:20,".@TSM_Firewolf has won grand challenge on 02/04/2019 10:55:18 SGT [Poison,Electro Wizard,Golem,Mini P.E.K.K.A,Witch… https://t.co/DtMt3ESRW2"
TSM Proximity,1112905975424462850,2019-04-02 02:33:55,"Semifinals in a Nutshell.
#LCS https://t.co/dZmhEAYcDM"
Jonny Esports,1112890570471587841,2019-04-02 01:32:43,Totally #AprilFools free (sort-of) episode of the #LCSRecap for the Quarterfinals! https://t.co/QwR95i9DSA #LCS #leagueoflegends
Reed Trimble,1112890522010619905,2019-04-02 01:32:31,@ZacharyLeonsis Enjoyed watching you speak at the Penn Club tonight. Thank you for giving esports the praise it des… https://t.co/Nh4IK0NIhq
Justin's Comics,1112877351594065920,2019-04-02 00:40:11,"ComicList: New Comic Book Releases List for 04/03/2019
https://t.co/9Uz23K1ay8
#NewComicBookDay #NCBD #MarvelComics… https://t.co/VGUmD6rl76"
Nick,1112877002166599680,2019-04-02 00:38:48,"Hi, I'm Nick:

🔧- Freelance esports writer, consumer research mgmt., pianist
🗂️- #LCS/#LEC know-it-all, #LCK fanboy… https://t.co/T2G5QI4XVG"
Akshon Esports,1112868509850222592,2019-04-02 00:05:03,"ICYMI:

Deftly on qualifying for his first LCS playoffs, efficiency over hard work and the legacy he wants to devel… https://t.co/R1WW1cqIA2"
Hoaxn - LOL,1112866985988128768,2019-04-01 23:59:00,Sitting down to watch yesterday's #lcs Quartfinals @FlyQuestSports vs @GoldenGuardians . I saved it as birthday pre… https://t.co/kBCVC3D65o
Jonny Esports,1112865495420612609,2019-04-01 23:53:04,"Uh, I made an error on the #LCS recap, going to re-upload later today, sawrie!"
Regillix,1112848607181406208,2019-04-01 22:45:58,"@NA_Alistar @FlyQuestSports @TeamLiquidLoL I wish you best of luck, but lets be real. The turtle of Wild Girth will… https://t.co/AkL5pqhu7d"
BTOB'S MELODY FOREVER😍,1112847628587294720,2019-04-01 22:42:05,Gotta try this 🤣 @Akaadian #TSM #TSMWIN @LoLZven @Smoothie @TSMBrokenBlade @Bjergsen 🤣🤣🤣 @TSM https://t.co/EyVJrJmsAG
