Lansing State Journal,1114735801156493313,2019-04-07 03:45:00,Here's where the game turned in MSU's loss to Texas Tech. https://t.co/piLjH26p3u #FinalFour #Spartans
MobiPrice.in,1114735430379794433,2019-04-07 03:43:32,Twitter is streaming live commentary shows for the NCAA's Final Four: Twitter is following March Madness with a fre… https://t.co/kvRR6nFMgC
🏀nyx,1114734984374386690,2019-04-07 03:41:45,Parenting two kids solo (my wife is out of town) and supporting the delivery of the Final Four to our March Madness… https://t.co/w6wh1k3kwb
Joshua Albarran,1114734744523218945,2019-04-07 03:40:48,@MateMagyar @TurnerSportsEJ @FinalFour No Inside March Madness for the rest of this tournament since CBS (not TBS)… https://t.co/vcvK6qtZGf
Al Wilson,1114734260668325888,2019-04-07 03:38:53,"Michigan State vs. Texas Tech in the Final Four: Turning point, unsung hero https://t.co/2gaCYoYIon"
Basketball Stuff,1114733908011171840,2019-04-07 03:37:29,New video by NCAA March Madness: Michigan State vs. Texas Tech: Final Four extended highlights https://t.co/OF4zet9O9n
Phil Friend,1114732893606170630,2019-04-07 03:33:27,"Cassius Winston only had 2 assists tonight. He was third in the nation in assists per game coming on. That, and mor… https://t.co/DpDjVeveiC"
LSJ Sports,1114732791684567040,2019-04-07 03:33:02,"The key swings, hero, statistics and more from Michigan State's loss to Texas Tech in the NCAA Tournament Final Fou… https://t.co/Y0kM8i8vih"
Basketball Stuff,1114732657223639040,2019-04-07 03:32:30,New video by NCAA March Madness: Watch all the top plays from the 2019 Final Four https://t.co/zfjueXsKU3
SIAdvance,1114732504987123713,2019-04-07 03:31:54,It's Texas Tech vs. Virginia in March Madness title game! https://t.co/MVInooVty0
GreenandWhite.com,1114731500388401152,2019-04-07 03:27:55,"The Xavier Tillman turnover followed by the Jarrett Culver 3-pointer was a dagger. 

https://t.co/U5NeOceISf"
Basketball Stuff,1114731327218122753,2019-04-07 03:27:13,New video by NCAA March Madness: Michigan State's Cassius Winston posts 16 points in Final Four loss to Texas Tech https://t.co/w5JkVqGqxZ
Basketball Stuff,1114731325632712704,2019-04-07 03:27:13,New video by NCAA March Madness: Watch all the best plays from Michigan State's Final Four run https://t.co/GZrZGXwlAX
WXYZ Detroit,1114731257852825600,2019-04-07 03:26:57,"Thanks for an incredible season and March Madness run, Michigan State Basketball! https://t.co/1FXWTf2sqP https://t.co/Xzoq4mkuXq"
CBC Sports,1114729979890294785,2019-04-07 03:21:52,Virginia and Texas Tech will play for the national championship on Monday night https://t.co/MEyKwrVWkD
Caller Sports,1114729903625330691,2019-04-07 03:21:34,".@TexasTechMBB has a chance at history on Monday after defeating Michigan State in Thursday's #Final Four. 
https://t.co/3FXY0pu58C"
Amy McDaniel,1114729051200073728,2019-04-07 03:18:11,Final Four: Texas Tech stifles Michigan State to advance to NCAA championship game https://t.co/ZZKa6VsaRy via ⁦@gosanangelo⁩
Times Record News,1114728944291463168,2019-04-07 03:17:45,Final Four: Texas Tech stops Michigan State to advance to NCAA championship game https://t.co/HL7Jy6KE3Q
Standard-Times,1114728887810916359,2019-04-07 03:17:32,Final Four: Texas Tech stops Michigan State to advance to NCAA championship game https://t.co/1o6Y0wPuCx
ReporterNews,1114728830026047494,2019-04-07 03:17:18,Final Four: Texas Tech stops Michigan State to advance to NCAA championship game https://t.co/d3f0cAQNEd
Caller.com,1114728775692976128,2019-04-07 03:17:05,Final Four: Texas Tech stops Michigan State to advance to NCAA championship game https://t.co/gi6ehi1HBU
NBA en español,1114728034890846208,2019-04-07 03:14:08,"[NBA Highlights] Texas Tech vs Michigan State Game Highlights - April 6, 2019 | 2019 NCAA March Madness - Final Four https://t.co/l77m98KPmQ"
Primetime,1114727416465952768,2019-04-07 03:11:41,It will be the two best defensive teams for the title. Pearl and Izzo both lose in the Final Four. Should be a clos… https://t.co/nXPv4cbwAk
Mark,1114727314930061312,2019-04-07 03:11:17,Texas Tech just defeated Michigan (who defeated Duke) in the Final Four semis and will face Virginia in the NCAA Ch… https://t.co/7wLksrUdBJ
Zachary Schneider,1114727201725911040,2019-04-07 03:10:50,"UPDATE: Crypto March Madness Final Four Match #2

$ADA upsets $LTC, will face $ETH in the Championship on Monday!… https://t.co/Dv7sG4xctY"
M E E S H,1114726486383063040,2019-04-07 03:07:59,yooo most people did not have texas tech in their final four let alone the championship game this is wild this is w… https://t.co/LfkQszKuVI
Bananas Alert,1114724104727355394,2019-04-07 02:58:31,"And thanks to a Michigan State rally, we have another #BANANAS #Final Four finish! Texas Tech leads the Spartans 54… https://t.co/jX7MKvE6mp"
David Thompson,1114722928258633728,2019-04-07 02:53:51,Auburn fans mistakenly rolled Toomer’s Corner after Final Four loss https://t.co/bJ7MYl6StT
Sports Illustrated,1114720710654615552,2019-04-07 02:45:02,Bruce Pearl is not ripping the refs for the missed double dribble call https://t.co/Zc7kO0EPiN
Sara Short,1114719868924977152,2019-04-07 02:41:41,Watching the final four with my main squeeze. Love March madness.
