Tyler Lindsey,1113876645679648769,2019-04-04 18:51:01,@lockedonbengals @Jake_NFL @andreperrotta13 What would you think of free agency happening after the draft? Seems li… https://t.co/s2NOkr56Wm
Justin Thomas,1113876510522380289,2019-04-04 18:50:29,Why Josh Jacobs projects to be the best RB in NFL draft - via @ESPN App https://t.co/ZpG076m7oo
PFTPMPosse,1113876503656370179,2019-04-04 18:50:27,@ProFootballTalk Per #PFTPMPosse member @Ollie_Hein Wouldnt it be better for the AAF/XFL to play their games after… https://t.co/B84p4UTFn1
John Bava III,1113876448870379520,2019-04-04 18:50:14,"Scouting report on Utah State RB Darwin Thompson. #NFLDraft 

https://t.co/G2qZ1GylVm"
Tiffany,1113876421250822147,2019-04-04 18:50:08,"3 weeks until the NFL Draft. Yeaaaaaah, #Giants!!! 🏈"
Jayna,1113876383392862208,2019-04-04 18:49:59,"NFC South roster reset: Saints still team to beat - https://t.co/caK9KpuG83 - https://t.co/uR91SohtOI -

   Our Ros… https://t.co/tm16mhUmXd"
Alex,1113876337834496002,2019-04-04 18:49:48,Trade up and draft Devin White? @steelers 🤔 https://t.co/OLxddWWvSo
Kev,1113875915560427520,2019-04-04 18:48:07,@MartyyyMcFlyyy Yeah he the next Djax NFL is changing big Receiver are scary to draft
atltreepros,1113875837428826112,2019-04-04 18:47:49,Outrage over cherry trees part of bigger issue of disappearing tree canopy | Opinion - The Tennessean: https://t.co/RbCpt144Ci
Kevin Bowen,1113875766817828865,2019-04-04 18:47:32,"The NFL Draft begins 3 weeks from today.

Chris Ballard currently has 4 picks on the first two days:

-Round 1, Pic… https://t.co/amlxCeWZdF"
Logan Banker,1113875657451286529,2019-04-04 18:47:06,"In my latest for @PHLSportsNation:

It’s been a busy offseason for the #Eagles, and focus is quickly shifting to th… https://t.co/dwrep81m6a"
Jason Orillion,1113875614723911686,2019-04-04 18:46:56,New Orleans Saints 2019 NFL draft outlook: Tight ends https://t.co/oMt6pPPvx3
Oakland Media OakMtg,1113875414466822145,2019-04-04 18:46:08,"Jon Gruden On Derek Carr, NFL Draft 2019, Arden Key, at NFL Annual Meeting https://t.co/SAUzTtJitZ"
Oakland Media OakMtg,1113875409840504832,2019-04-04 18:46:07,"Jon Gruden On Derek Carr, NFL Draft 2019, Arden Key, at NFL Annual Meeting https://t.co/oCXD0dROYq"
